review,rating,date
"The battery life on this phone is absolutely amazing. I can easily go two days without charging it.",5,2023-10-01
"Decent display, but the phone heats up very fast when playing heavy games. Not ideal for gamers.",3,2023-10-02
"Camera is terrible in low light. For this price, I expected much better photo quality.",2,2023-10-03
"Charging speed is super fast! Goes from 0 to 100 in just 30 minutes. Loving the build quality too.",5,2023-10-04
"Software is very buggy. It crashes randomly when I open the camera app.",2,2023-10-05
"Incredible performance, multitasking is a breeze. The display is vibrant and sharp.",5,2023-10-06
"Overheating is a real issue. Just browsing the web makes it warm.",2,2023-10-07
"Battery degradation happened within 3 months. Now I have to charge it twice a day.",1,2023-10-08
"Best price to performance ratio in the market right now. The camera is decent for daylight.",4,2023-10-09
"Solid build, but the software feels a bit unpolished. Battery is fine.",4,2023-10-10
